distance,cab_type,time_stamp,destination,source,price,surge_multiplier,name,ts_hour
4.51,Lyft,2018-12-15 06:35:07.613,Fenway,Financial District,7.0,1.0,Shared,2018-12-15 06:00:00
2.8,Uber,2018-12-17 00:00:12.832,Boston University,West End,10.5,1.0,WAV,2018-12-17 00:00:00
1.09,Lyft,2018-12-03 12:17:59.713,Theatre District,South Station,7.0,1.0,Lyft,2018-12-03 12:00:00
0.92,Uber,2018-11-27 03:45:22.219,Haymarket Square,Financial District,15.5,1.0,Black,2018-11-27 03:00:00
1.12,Lyft,2018-11-29 09:03:03.492,North Station,North End,16.5,1.0,Lux Black,2018-11-29 09:00:00
5.56,Uber,2018-12-01 10:38:04.848,Boston University,Financial District,15.0,1.0,WAV,2018-12-01 10:00:00
3.4,Lyft,2018-12-15 17:40:06.427,Northeastern University,Financial District,19.5,1.0,Lyft XL,2018-12-15 17:00:00
0.73,Lyft,2018-12-14 06:30:10.210,Haymarket Square,North Station,11.0,1.0,Lux,2018-12-14 06:00:00
2.45,Uber,2018-11-27 12:54:22.573,Theatre District,Boston University,11.0,1.0,UberX,2018-11-27 12:00:00
2.8,Uber,2018-12-13 23:15:03.684,Boston University,West End,28.5,1.0,Black SUV,2018-12-13 23:00:00
2.82,Uber,2018-11-29 09:13:03.025,West End,South Station,9.5,1.0,WAV,2018-11-29 09:00:00
5.7,Uber,2018-12-03 09:38:04.180,Boston University,Financial District,16.0,1.0,WAV,2018-12-03 09:00:00
1.16,Uber,2018-11-30 00:53:03.613,Theatre District,Haymarket Square,6.5,1.0,UberPool,2018-11-30 00:00:00
1.57,Uber,2018-11-27 19:42:22.644,North End,Theatre District,7.5,1.0,UberX,2018-11-27 19:00:00
2.69,Lyft,2018-12-14 10:10:10.966,Theatre District,Fenway,7.0,1.0,Shared,2018-12-14 10:00:00
2.27,Uber,2018-11-29 04:29:22.428,Boston University,Beacon Hill,9.5,1.0,UberX,2018-11-29 04:00:00
3.44,Uber,2018-12-13 04:15:06.488,Back Bay,South Station,26.0,1.0,Black,2018-12-13 04:00:00
4.72,Lyft,2018-12-13 03:45:07.100,Boston University,Theatre District,16.5,1.0,Shared,2018-12-13 03:00:00
2.37,Lyft,2018-12-18 11:25:09.279,Back Bay,Haymarket Square,27.5,1.0,Lux Black XL,2018-12-18 11:00:00
3.22,Uber,2018-12-04 02:58:02.538,North Station,Northeastern University,39.5,1.0,Black SUV,2018-12-04 02:00:00
2.4,Lyft,2018-11-27 10:00:22.209,Back Bay,Haymarket Square,16.5,1.0,Lux,2018-11-27 10:00:00
1.79,Uber,2018-11-28 23:53:40.750,Back Bay,Haymarket Square,8.5,1.0,WAV,2018-11-28 23:00:00
3.8,Uber,2018-11-29 13:38:03.378,Back Bay,Haymarket Square,11.5,1.0,UberX,2018-11-29 13:00:00
2.39,Lyft,2018-11-30 03:52:59.334,South Station,Beacon Hill,30.0,1.0,Lux Black XL,2018-11-30 03:00:00
2.33,Uber,2018-12-16 02:55:05.157,North End,Back Bay,9.5,1.0,UberX,2018-12-16 02:00:00
1.24,Lyft,2018-12-17 22:45:05.353,Back Bay,Northeastern University,11.0,1.0,Lyft XL,2018-12-17 22:00:00
1.48,Lyft,2018-12-15 16:20:08.652,Boston University,Back Bay,3.5,1.0,Shared,2018-12-15 16:00:00
0.92,Uber,2018-12-15 16:35:12.471,Haymarket Square,Financial District,8.5,1.0,WAV,2018-12-15 16:00:00
