temp,location,clouds,pressure,rain,time_stamp,humidity,wind,is_Raining,ts_hour
42.75,Haymarket Square,0.75,1022.82,0.0,2018-12-01 19:52:54,0.57,1.69,False,2018-12-01 19:00:00
33.15,Fenway,0.05,1017.29,0.0,2018-11-30 13:52:54,0.79,1.85,False,2018-11-30 13:00:00
37.86,Back Bay,0.11,1017.43,0.0,2018-11-30 14:52:54,0.68,2.71,False,2018-11-30 14:00:00
22.68,Financial District,0.19,1033.73,0.0,2018-12-13 13:45:02,0.57,2.9,False,2018-12-13 13:00:00
35.02,Fenway,0.59,991.7,0.0,2018-11-28 07:56:39,0.79,5.51,False,2018-11-28 07:00:00
34.26,Beacon Hill,0.0,1014.51,0.0,2018-11-30 05:52:54,0.73,4.85,False,2018-11-30 05:00:00
41.3,Beacon Hill,0.9,989.86,0.0,2018-11-27 17:45:20,0.78,10.72,False,2018-11-27 17:00:00
44.1,Boston University,0.73,1006.81,0.0,2018-11-29 17:52:54,0.52,11.04,False,2018-11-29 17:00:00
39.32,North End,0.42,1023.44,0.0,2018-12-16 06:45:01,0.73,7.33,False,2018-12-16 06:00:00
39.19,Theatre District,1.0,1019.53,0.0313,2018-12-02 08:52:54,0.87,4.06,True,2018-12-02 08:00:00
20.1,South Station,0.43,1031.06,0.0,2018-12-13 10:45:02,0.64,3.84,False,2018-12-13 10:00:00
40.8,Fenway,0.98,1014.45,0.0,2018-11-26 08:21:59,0.93,1.34,False,2018-11-26 08:00:00
40.49,Haymarket Square,1.0,1014.19,0.0,2018-11-26 06:11:49,0.91,1.2,False,2018-11-26 06:00:00
36.67,South Station,0.58,997.48,0.0,2018-11-29 01:27:03,0.77,10.53,False,2018-11-29 01:00:00
44.18,Northeastern University,1.0,1000.78,0.1207,2018-11-27 03:45:20,0.91,13.43,True,2018-11-27 03:00:00
39.32,Fenway,0.83,995.67,0.0,2018-11-28 23:32:09,0.66,10.71,False,2018-11-28 23:00:00
42.67,North End,0.91,1014.85,0.003,2018-11-26 14:05:08,0.9,2.23,True,2018-11-26 14:00:00
50.74,Boston University,0.7,1000.23,0.0,2018-12-03 20:52:54,0.56,6.64,False,2018-12-03 20:00:00
38.6,Fenway,1.0,1006.41,0.0,2018-12-17 05:45:01,0.9,11.41,False,2018-12-17 05:00:00
46.62,South Station,0.95,1022.17,0.0,2018-12-15 12:45:01,0.87,4.18,False,2018-12-15 12:00:00
43.15,Financial District,0.95,1013.18,0.004,2018-12-16 21:45:01,0.73,10.81,True,2018-12-16 21:00:00
31.35,Boston University,0.83,1034.67,0.0,2018-12-13 22:45:02,0.63,2.3,False,2018-12-13 22:00:00
39.21,Northeastern University,0.42,1023.55,0.0,2018-12-16 06:45:01,0.73,7.18,False,2018-12-16 06:00:00
44.67,Fenway,1.0,1009.1,0.0,2018-11-26 21:05:10,0.85,9.12,False,2018-11-26 21:00:00
37.31,West End,0.88,1002.91,0.0,2018-12-17 15:45:02,0.87,7.6,False,2018-12-17 15:00:00
41.11,Back Bay,0.97,1014.37,0.0,2018-11-26 07:16:51,0.92,1.81,False,2018-11-26 07:00:00
43.92,North Station,1.0,1006.29,0.0409,2018-11-27 00:17:13,0.9,10.09,True,2018-11-27 00:00:00
45.66,Fenway,0.04,1003.23,0.0,2018-12-04 01:52:54,0.6,8.08,False,2018-12-04 01:00:00
37.5,North Station,0.42,998.65,0.0,2018-11-29 03:32:09,0.72,11.26,False,2018-11-29 03:00:00
37.68,Haymarket Square,0.62,998.37,0.0,2018-11-29 04:02:07,0.7,9.32,False,2018-11-29 04:00:00
44.98,Back Bay,0.96,988.43,0.0,2018-11-27 13:15:20,0.91,4.16,False,2018-11-27 13:00:00
35.41,Financial District,0.81,1018.49,0.0,2018-12-01 03:52:54,0.74,3.53,False,2018-12-01 03:00:00
33.58,Financial District,0.13,991.16,0.0,2018-11-28 10:00:10,0.82,5.56,False,2018-11-28 10:00:00
40.06,North End,0.81,999.9,0.0,2018-12-17 20:45:01,0.74,9.33,False,2018-12-17 20:00:00
42.73,South Station,0.9,1018.83,0.007,2018-12-16 16:45:07,0.73,9.71,True,2018-12-16 16:00:00
28.72,West End,0.28,1021.47,0.0,2018-12-10 02:40:57,0.6,5.19,False,2018-12-10 02:00:00
29.85,Fenway,0.76,1035.03,0.0,2018-12-14 01:45:02,0.69,2.36,False,2018-12-14 01:00:00
41.88,Financial District,0.52,1003.93,0.0,2018-12-04 04:52:54,0.63,8.07,False,2018-12-04 04:00:00
45.0,Back Bay,1.0,1012.21,0.003,2018-12-02 15:52:54,0.94,6.13,True,2018-12-02 15:00:00
38.97,Boston University,0.29,1005.75,0.0,2018-11-29 12:52:59,0.63,10.25,False,2018-11-29 12:00:00
34.57,Boston University,1.0,1003.72,0.0029,2018-12-17 11:45:02,0.92,8.93,True,2018-12-17 11:00:00
39.52,Back Bay,0.27,991.75,0.0,2018-11-28 15:02:08,0.65,8.19,False,2018-11-28 15:00:00
35.67,Boston University,0.19,1023.76,0.0,2018-12-02 01:52:54,0.81,1.33,False,2018-12-02 01:00:00
33.58,Financial District,0.14,991.2,0.0,2018-11-28 10:06:24,0.82,5.71,False,2018-11-28 10:00:00
44.85,Haymarket Square,0.99,989.76,0.0,2018-11-27 11:15:20,0.96,3.49,False,2018-11-27 11:00:00
43.65,North End,1.0,1014.16,0.009,2018-12-02 14:52:54,0.94,6.78,True,2018-12-02 14:00:00
46.08,Financial District,0.99,990.88,0.008,2018-11-27 10:45:20,0.93,6.47,True,2018-11-27 10:00:00
41.96,West End,0.87,1021.58,0.0,2018-12-16 14:45:02,0.71,7.29,False,2018-12-16 14:00:00
37.67,North End,0.54,1023.02,0.0,2018-12-01 14:52:54,0.67,4.9,False,2018-12-01 14:00:00
36.84,North Station,0.64,991.55,0.0,2018-11-28 13:02:07,0.7,6.56,False,2018-11-28 13:00:00
40.55,North End,1.0,1014.19,0.0,2018-11-26 06:16:45,0.91,1.28,False,2018-11-26 06:00:00
38.53,Boston University,0.55,997.81,0.0,2018-11-29 01:59:51,0.7,10.03,False,2018-11-29 01:00:00
43.85,West End,0.5,1031.42,0.0,2018-12-14 17:45:02,0.61,3.77,False,2018-12-14 17:00:00
38.5,Theatre District,0.17,1017.58,0.0,2018-11-30 15:52:54,0.67,2.96,False,2018-11-30 15:00:00
46.35,Beacon Hill,1.0,1010.17,0.0,2018-12-02 16:52:54,0.94,7.04,False,2018-12-02 16:00:00
44.22,Northeastern University,0.58,1006.86,0.0,2018-11-29 16:52:54,0.53,11.43,False,2018-11-29 16:00:00
41.48,Fenway,0.85,991.69,0.0,2018-11-28 17:32:07,0.63,9.88,False,2018-11-28 17:00:00
40.68,Back Bay,0.93,1013.74,0.0,2018-11-26 05:02:58,0.92,3.0,False,2018-11-26 05:00:00
38.23,Northeastern University,0.63,997.41,0.0,2018-11-29 01:19:44,0.72,10.24,False,2018-11-29 01:00:00
44.56,Back Bay,0.99,990.78,0.0213,2018-11-27 10:15:20,0.96,5.87,True,2018-11-27 10:00:00
41.11,Northeastern University,1.0,989.83,0.0,2018-11-27 15:45:20,0.86,9.26,False,2018-11-27 15:00:00
40.09,Northeastern University,1.0,1016.03,0.0,2018-11-30 19:52:54,0.61,4.27,False,2018-11-30 19:00:00
45.49,West End,0.95,1022.18,0.0,2018-12-15 12:45:01,0.91,4.15,False,2018-12-15 12:00:00
40.32,Northeastern University,0.86,1014.17,0.0,2018-11-26 04:41:37,0.94,2.62,False,2018-11-26 04:00:00
40.91,Beacon Hill,0.11,1006.2,0.003,2018-11-29 13:52:54,0.6,10.46,True,2018-11-29 13:00:00
41.4,Back Bay,0.47,1022.56,0.0,2018-12-01 16:52:54,0.58,2.26,False,2018-12-01 16:00:00
45.38,Boston University,0.98,1010.03,0.0,2018-11-26 20:05:08,0.83,8.04,False,2018-11-26 20:00:00
32.79,South Station,0.59,1034.09,0.0,2018-12-13 20:45:01,0.6,1.48,False,2018-12-13 20:00:00
33.57,Boston University,0.14,991.2,0.0,2018-11-28 10:03:56,0.82,5.51,False,2018-11-28 10:00:00
29.37,Beacon Hill,0.04,1015.92,0.0,2018-11-30 10:52:54,0.86,3.29,False,2018-11-30 10:00:00
45.82,Financial District,1.0,1022.35,0.0,2018-12-15 06:45:01,0.89,6.24,False,2018-12-15 06:00:00
38.99,North End,0.29,1005.71,0.0,2018-11-29 12:52:54,0.63,10.43,False,2018-11-29 12:00:00
37.82,North Station,0.37,998.28,0.0,2018-11-29 02:37:52,0.72,10.53,False,2018-11-29 02:00:00
44.82,South Station,0.92,1000.95,0.0,2018-12-03 05:52:54,0.95,2.22,False,2018-12-03 05:00:00
42.92,North End,0.95,1015.02,0.0,2018-12-16 19:45:01,0.73,9.93,False,2018-12-16 19:00:00
30.04,Haymarket Square,0.59,1035.11,0.0,2018-12-14 02:45:01,0.69,1.97,False,2018-12-14 02:00:00
33.07,Northeastern University,0.4,991.99,0.0,2018-11-28 09:43:15,0.85,6.76,False,2018-11-28 09:00:00
44.27,South Station,0.72,1006.79,0.0,2018-11-29 17:52:54,0.52,11.21,False,2018-11-29 17:00:00
39.31,Theatre District,0.44,1022.79,0.0,2018-12-16 07:45:01,0.74,7.28,False,2018-12-16 07:00:00
45.27,Financial District,1.0,1009.11,0.0,2018-11-26 21:05:10,0.83,9.34,False,2018-11-26 21:00:00
39.77,West End,0.56,1023.46,0.0,2018-12-01 21:52:54,0.65,2.63,False,2018-12-01 21:00:00
36.35,North End,1.0,1004.02,0.0,2018-12-17 09:45:01,0.93,9.83,False,2018-12-17 09:00:00
37.72,Back Bay,0.41,998.44,0.0,2018-11-29 03:19:00,0.71,11.04,False,2018-11-29 03:00:00
39.07,Fenway,0.44,1022.78,0.0,2018-12-16 07:45:01,0.75,7.08,False,2018-12-16 07:00:00
27.08,Back Bay,0.22,1034.02,0.0,2018-12-14 10:45:06,0.8,3.03,False,2018-12-14 10:00:00
41.13,Theatre District,0.17,1009.57,0.0,2018-11-29 21:52:54,0.58,8.93,False,2018-11-29 21:00:00
41.4,Back Bay,0.9,989.88,0.0,2018-11-27 17:45:20,0.78,10.72,False,2018-11-27 17:00:00
51.97,Theatre District,0.91,1021.29,0.0,2018-12-15 18:45:02,0.73,5.56,False,2018-12-15 18:00:00
34.78,West End,0.5,991.81,0.0,2018-11-28 08:14:44,0.8,5.95,False,2018-11-28 08:00:00
40.15,Fenway,0.91,1013.79,0.0,2018-11-26 05:29:18,0.94,2.67,False,2018-11-26 05:00:00
29.81,Boston University,0.69,1034.98,0.0,2018-12-14 03:45:01,0.7,1.87,False,2018-12-14 03:00:00
23.13,Haymarket Square,0.05,1027.52,0.0,2018-12-13 04:24:57,0.47,4.22,False,2018-12-13 04:00:00
46.39,Financial District,0.97,1010.98,0.0,2018-11-26 19:05:10,0.82,8.01,False,2018-11-26 19:00:00
40.7,Northeastern University,1.0,1014.73,0.0,2018-11-26 09:35:10,0.94,0.58,False,2018-11-26 09:00:00
38.65,Boston University,0.68,997.26,0.0,2018-11-29 01:09:23,0.71,9.92,False,2018-11-29 01:00:00
37.46,Haymarket Square,0.04,1012.02,0.0,2018-11-30 01:52:54,0.66,8.0,False,2018-11-30 01:00:00
41.31,South Station,0.93,993.45,0.0,2018-11-28 21:02:08,0.63,8.55,False,2018-11-28 21:00:00
37.57,Beacon Hill,0.5,998.74,0.0,2018-11-29 04:32:07,0.71,9.96,False,2018-11-29 04:00:00
32.62,Northeastern University,0.16,991.43,0.0,2018-11-28 10:32:07,0.86,6.36,False,2018-11-28 10:00:00
40.01,Back Bay,0.95,1000.9,0.0,2018-12-17 17:45:01,0.81,6.46,False,2018-12-17 17:00:00
36.29,Haymarket Square,0.29,1001.75,0.0,2018-12-18 02:45:01,0.69,10.06,False,2018-12-18 02:00:00
43.86,North End,1.0,997.49,0.013,2018-11-27 06:15:20,0.91,11.46,True,2018-11-27 06:00:00
45.0,Theatre District,0.96,989.74,0.0,2018-11-27 11:45:20,0.97,3.42,False,2018-11-27 11:00:00
44.26,Haymarket Square,1.0,1004.48,0.7625,2018-11-27 01:45:22,0.9,13.4,True,2018-11-27 01:00:00
41.64,Northeastern University,0.93,1015.4,0.0,2018-11-26 13:05:08,0.91,3.44,False,2018-11-26 13:00:00
44.67,West End,1.0,999.78,0.0143,2018-11-27 04:15:20,0.9,15.24,True,2018-11-27 04:00:00
41.62,North Station,0.91,1025.09,0.0,2018-12-15 02:45:01,0.88,5.98,False,2018-12-15 02:00:00
33.25,North End,0.37,990.64,0.0,2018-11-28 11:02:07,0.82,6.55,False,2018-11-28 11:00:00
39.93,Fenway,0.72,1000.27,0.0,2018-12-17 21:45:02,0.7,9.02,False,2018-12-17 21:00:00
32.53,Beacon Hill,0.0,1014.52,0.0,2018-11-30 06:52:54,0.77,4.03,False,2018-11-30 06:00:00
40.51,Financial District,1.0,1014.18,0.0,2018-11-26 06:16:45,0.92,1.28,False,2018-11-26 06:00:00
45.47,Financial District,0.92,1001.11,0.0,2018-12-03 08:52:54,0.94,2.86,False,2018-12-03 08:00:00
42.47,Financial District,0.93,1028.3,0.0,2018-12-14 22:45:01,0.72,5.06,False,2018-12-14 22:00:00
49.48,Back Bay,0.88,1000.11,0.0044,2018-12-03 12:52:54,0.92,4.49,True,2018-12-03 12:00:00
38.44,Boston University,0.18,1017.58,0.0,2018-11-30 15:52:54,0.67,2.97,False,2018-11-30 15:00:00
38.41,Back Bay,0.6,997.47,0.0,2018-11-29 01:24:43,0.71,10.36,False,2018-11-29 01:00:00
42.01,Financial District,0.53,991.61,0.0,2018-11-27 22:15:20,0.69,10.18,False,2018-11-27 22:00:00
34.13,South Station,0.42,991.8,0.0,2018-11-28 09:32:11,0.81,5.95,False,2018-11-28 09:00:00
42.3,Haymarket Square,0.89,1015.01,0.0052,2018-11-26 13:35:10,0.91,3.66,True,2018-11-26 13:00:00
30.84,West End,0.2,1022.79,0.0,2018-12-09 23:08:23,0.57,5.57,False,2018-12-09 23:00:00
39.45,Northeastern University,0.23,991.75,0.0,2018-11-27 23:15:20,0.72,8.9,False,2018-11-27 23:00:00
39.69,Financial District,0.94,1015.35,0.0,2018-11-26 11:35:08,0.95,2.37,False,2018-11-26 11:00:00
